Country Name,2017,2018,2019,2020,2021
Afghanistan,11.1800003051758,11.1520004272461,11.2170000076294,11.710000038147,13.2829999923706
Angola,7.40799999237061,7.4210000038147,7.4210000038147,8.33300018310547,8.52999973297119
Albania,13.6199998855591,12.3000001907349,11.4700002670288,13.3290004730225,11.8190002441406
Arab World,10.8963785642502,10.5023355572556,10.0061535286814,11.4873210354051,11.6255322563977
United Arab Emirates,2.46000003814697,2.35199999809265,2.23000001907349,3.18799996376038,3.35800004005432
Argentina,8.35000038146973,9.22000026702881,9.84000015258789,11.460000038147,10.9020004272461
Armenia,17.7000007629395,18.9699993133545,18.2999992370605,21.2059993743896,20.8969993591309
Australia,5.59000015258789,5.30000019073486,5.15999984741211,6.46000003814697,5.11199998855591
Austria,5.5,4.84999990463257,4.48999977111816,5.3600001335144,6.30100011825562
Azerbaijan,5,4.90000009536743,4.84999990463257,6.46299982070923,6.58300018310547
Burundi,1.58899998664856,1.58700001239777,1.58899998664856,1.70700001716614,1.79200005531311
Belgium,7.09000015258789,5.94999980926514,5.3600001335144,5.55000019073486,6.42000007629395
Benin,1.64400005340576,1.47000002861023,1.47000002861023,1.58399999141693,1.57400000095367
Bangladesh,4.36999988555908,4.41300010681152,4.43800020217896,5.41300010681152,5.22900009155273
Bulgaria,6.15999984741211,5.21000003814697,4.23000001907349,5.11999988555908,5.42399978637695
Bahrain,1.18299996852875,1.20099997520447,1.19599997997284,1.78100001811981,1.87399995326996
Belarus,5.65000009536743,4.76000022888184,4.15999984741211,4.76800012588501,4.73600006103516
Belize,6.59999990463257,6.64400005340576,6.71099996566772,8.46199989318848,8.2189998626709
Bolivia,3.65000009536743,3.51999998092651,3.8199999332428,7.90000009536743,8.50899982452393
Brazil,12.8199996948242,12.3299999237061,11.9300003051758,13.6899995803833,14.4029998779297
Barbados,8.61999988555908,8.31999969482422,8.40999984741211,10.3769998550415,10.4130001068115
Bhutan,2.45300006866455,2.44400000572205,2.50200009346008,3.6489999294281,4.33199977874756
Botswana,21.5659999847412,22.0709991455078,22.6100006103516,24.9300003051758,24.7220001220703
Canada,6.34000015258789,5.82999992370605,5.65999984741211,9.46000003814697,7.51000022888184
Switzerland,4.80000019073486,4.71000003814697,4.3899998664856,4.82000017166138,5.32100009918213
Chile,6.96000003814697,7.23000001907349,7.28999996185303,11.1800003051758,9.12800025939941
China,4.44000005722046,4.28000020980835,4.51999998092651,5,4.81699991226196
Cameroon,3.59999990463257,3.61700010299683,3.63800001144409,3.83699989318848,3.86500000953674
Colombia,8.86999988555908,9.10999965667725,9.96000003814697,15.039999961853,14.3360004425049
Comoros,8.08600044250488,8.07900047302246,8.08199977874756,9.22299957275391,9.44699954986572
Cabo Verde,12.2399997711182,12.1700000762939,12.2189998626709,15.3059997558594,15.4230003356934
Costa Rica,8.14000034332275,9.63000011444092,11.4899997711182,17.4099998474121,17.9540004730225
Cuba,1.70000004768372,1.70000004768372,1.73500001430511,2.62400007247925,2.75600004196167
Cyprus,11.0500001907349,8.36999988555908,7.07000017166138,7.59000015258789,6.13000011444092
Czechia,2.89000010490417,2.24000000953674,2.00999999046326,2.54999995231628,2.88700008392334
Germany,3.75,3.38000011444092,3.14000010490417,3.80999994277954,3.53500008583069
Djibouti,26.0599994659424,26.1889991760254,26.3570003509521,28.3899993896484,28.3859996795654
Denmark,5.82999992370605,5.13000011444092,5.01999998092651,5.6399998664856,4.7979998588562
Algeria,10.3330001831055,10.4200000762939,10.5129995346069,12.5500001907349,12.7040004730225
Ecuador,3.83999991416931,3.52999997138977,3.80999994277954,6.1100001335144,6.42700004577637
Spain,17.2199993133545,15.25,14.1000003814697,15.5299997329712,14.7329998016357
Estonia,5.76000022888184,5.36999988555908,4.44999980926514,6.80000019073486,6.33099985122681
Ethiopia,2.29900002479553,2.31800007820129,2.32599997520447,3.23699998855591,3.69400000572205
Finland,8.64000034332275,7.3600001335144,6.69000005722046,7.76000022888184,7.52500009536743
Fiji,4.27799987792969,4.33300018310547,4.44799995422363,4.71500015258789,5.23899984359741
France,9.40999984741211,9.02000045776367,8.40999984741211,8.01000022888184,8.0629997253418
Gabon,20.7210006713867,20.7490005493164,20.742000579834,21.9720001220703,22.2649993896484
United Kingdom,4.32999992370605,4,3.74000000953674,4.47200012207031,4.52600002288818
Georgia,13.9399995803833,12.6700000762939,11.5699996948242,18.5,10.6590003967285
Ghana,4.21999979019165,4.27600002288818,4.31599998474121,4.65100002288818,4.7039999961853
Guinea,4.91400003433228,4.98299980163574,5.01999998092651,6.10300016403198,6.34200000762939
Greece,21.4899997711182,19.2900009155273,17.3099994659424,16.2999992370605,14.7950000762939
Guatemala,2.46000003814697,2.27999997138977,2.19000005722046,3.55299997329712,3.57200002670288
Guam,5.43499994277954,5.55900001525879,5.5149998664856,6.80200004577637,6.98299980163574
Guyana,13.746000289917,14.0200004577637,13.9919996261597,16.4309997558594,16.4249992370605
"Hong Kong SAR, China",3.13000011444092,2.8199999332428,2.9300000667572,5.82999992370605,5.31500005722046
Honduras,5.53000020980835,5.65000009536743,5.69999980926514,8.3730001449585,8.51299953460693
Croatia,11.210000038147,8.43000030517578,6.61999988555908,7.51000022888184,8.68299961090088
Haiti,13.8769998550415,13.8599996566772,13.914999961853,15.451000213623,15.7259998321533
Hungary,4.15999984741211,3.71000003814697,3.42000007629395,4.25,4.11600017547607
Indonesia,3.88000011444092,4.40000009536743,3.61999988555908,4.28000020980835,4.41300010681152
India,5.35799980163574,5.32999992370605,5.26999998092651,7.99700021743774,5.97800016403198
