Country Name,2017,2018,2019,2020,2021
Senegal,20996564751.5994,23116897847.0474,23398811423.578,24493157583.2282,27625388352.1688
Singapore,343193352161.634,376998146500.593,375472731271.075,345295933898.674,396986899888.351
Solomon Islands,1483793468.06299,1574622018.23326,1570093229.25588,1545888426.23031,1645213881.62016
Sierra Leone,3719369107.34992,4085114794.22324,4076578542.56207,4063289449.58795,4200380124.32911
El Salvador,24979190000,26020850000,26896660000,24638720000,28736940000
Somalia,5609000000,5850677295.70037,6476674591.87472,6965285324.52156,7292721820.00001
Serbia,44179055279.8887,50640650221.4622,51514222381.8428,53335016425.4148,63068134601.1254
Suriname,3591623596.03082,3996247906.19765,3984483762.37123,2884248048.49068,2862131979.69543
Slovenia,48589100043.0954,54163591695.32,54178877605.9999,53589609580.7099,61526331889.499
Sweden,541018749769.097,555455371487.089,533879529188.454,541487151474.557,627437898887.29
Eswatini,4402969225.92165,4666784617.59585,4466066557.37957,3984840580.40634,4941373182.08261
Chad,10000395242.1457,11239167048.4916,11314951342.7807,10715396135.4168,11779980801.7843
Togo,6395472574.41445,7112200725.00232,7220395247.7424,7574636978.66175,8413200567.6151
Thailand,456356961443.497,506754616189.315,544081056184.697,499681757030.968,505981655622.305
Tajikistan,7536439875.08334,7765014424.33779,8300784856.87904,8133996647.90397,8746270636.40142
Turkmenistan,37926285714.2857,40765428571.4286,45231428571.4286,35365563565631541536544,
Timor-Leste,1615609700,1583876200,2047931700,1902156800,1959134743.83541
Tonga,460379144.989821,489235527.395387,512350059.421629,488829964.070819,35442545324
Tunisia,42164007605.1914,42685972269.4473,41772900763.3588,42514151614.2796,46840042941.4922
Turkiye,858996263095.858,778471901665.148,761004425605.414,719954821683.31,815271751724.423
Tanzania,53320625958.5628,57003713610.7625,61136873692.3985,62409709110.9538,67775101794.3478
Uganda,30744473911.5312,32927025573.4296,35353060634.2022,37600368180.9399,40434701516.9528
Ukraine,112090530368.543,130891049796.879,153882982016.281,156617861448.576,200085537744.354
Uruguay,64233966861.2518,64515038268.1373,61231149880.5857,53560755046.5726,59319547636.0876
United States,19479620056000,20527156026000,21372572437000,20893743833000,22996100000000
Uzbekistan,62081323299.0324,52633143808.1824,59907674027.4676,59894305352.8955,69238903106.1738
Virgin Islands (U.S.),3794000000,3922000000,4117000000,4204000000,4243454445
Vietnam,281353402175.236,308702086757.617,330391329475.734,343242570827.351,362637524070.969
Vanuatu,880062103.045053,914736985.430944,936526267.622513,896827873.114925,983469256.849629
Samoa,832025556.081401,821286938.902743,852007104.660046,807147527.615094,788389971.603065
South Africa,381448814653.456,404842116738.074,387934574098.17,335442101366.417,419946428126.008
Zambia,25873601260.8353,26311590296.7021,23308667781.2258,18110631358.3114,21203059080.3507
Zimbabwe,17584890936.6523,18115543790.7855,19284289739.0517,18051170798.941,26217726717.3386
